month,new_subscriptions,cancellations,net_subscription_change
2024-01-01,729,0.0,729.0
2024-02-01,952,0.0,952.0
2024-03-01,1002,6.0,996.0
2024-04-01,1008,8.0,1000.0
2024-05-01,1016,28.0,988.0
2024-06-01,939,48.0,891.0
2024-07-01,1021,54.0,967.0
2024-08-01,981,69.0,912.0
2024-09-01,1004,76.0,928.0
2024-10-01,1023,61.0,962.0
2024-11-01,985,74.0,911.0
2024-12-01,1022,70.0,952.0
2025-01-01,1045,101.0,944.0
2025-02-01,960,84.0,876.0
2025-03-01,1056,92.0,964.0
2025-04-01,938,90.0,848.0
2025-05-01,965,83.0,882.0
2025-06-01,1006,89.0,917.0
2025-07-01,973,104.0,869.0
2025-08-01,1056,113.0,943.0
2025-09-01,1012,96.0,916.0
2025-10-01,1073,95.0,978.0
2025-11-01,968,93.0,875.0
2025-12-01,1013,83.0,930.0
2026-01-01,1037,98.0,939.0
2026-02-01,938,92.0,846.0
2026-03-01,1014,107.0,907.0
2026-04-01,967,102.0,865.0
2026-05-01,1017,108.0,909.0
2026-06-01,1054,75.0,979.0
2026-07-01,226,649.0,-423.0
