month,cancellations,cancelled_customers,lost_mrr
2024-03-01,6,6,324.0
2024-04-01,8,8,282.0
2024-05-01,28,28,1872.0
2024-06-01,48,48,2602.0
2024-07-01,54,54,3006.0
2024-08-01,69,69,4421.0
2024-09-01,76,76,4874.0
2024-10-01,61,61,4229.0
2024-11-01,74,74,4666.0
2024-12-01,70,70,4250.0
2025-01-01,101,101,5939.0
2025-02-01,84,84,4326.0
2025-03-01,92,92,5948.0
2025-04-01,90,90,5250.0
2025-05-01,83,83,4877.0
2025-06-01,89,89,5561.0
2025-07-01,104,104,6776.0
2025-08-01,113,113,7517.0
2025-09-01,96,96,6034.0
2025-10-01,95,95,5715.0
2025-11-01,93,93,5977.0
2025-12-01,83,83,4617.0
2026-01-01,98,98,6162.0
2026-02-01,92,92,6038.0
2026-03-01,107,107,6233.0
2026-04-01,102,102,7878.0
2026-05-01,108,108,6482.0
2026-06-01,75,75,3835.0
2026-07-01,649,649,38561.0
