user_id,churn,plan,billing_frequency,trial,acquisition_source,monthly_recurring_revenue,annual_contract_value,tenure_days,upgrade_count,downgrade_count,upgrade_downgrade_ratio,total_mrr,average_monthly_revenue,active_months,plans_used,estimated_annual_value,revenue_per_active_month,tenure_months,has_upgrade,has_downgrade,upgrade_minus_downgrade,revenue_tier
U017525,0,starter,monthly,true,partner,29.0,348.0,941,0,0,0.0,899.0,29.0,31,1,348.0,29.0,30.913272010512483,0,0,0,Low
U017339,0,free,unknown,true,self-serve,0.0,0.0,941,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.913272010512483,0,0,0,Free
U005513,0,free,unknown,true,self-serve,0.0,0.0,941,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.913272010512483,0,0,0,Free
U011214,0,free,unknown,true,self-serve,0.0,0.0,941,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.913272010512483,0,0,0,Free
U001408,0,free,unknown,true,self-serve,0.0,0.0,941,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.913272010512483,0,0,0,Free
U026581,0,free,unknown,true,self-serve,0.0,0.0,941,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.913272010512483,0,0,0,Free
U009446,0,enterprise,monthly,true,sales-assisted,199.0,2388.0,940,1,1,1.0,6169.0,199.0,31,1,2388.0,199.0,30.880420499342968,1,1,0,High
U004027,0,starter,annual,false,self-serve,29.0,348.0,940,1,0,1.0,899.0,29.0,31,1,348.0,29.0,30.880420499342968,1,0,1,Low
U016177,0,free,unknown,true,self-serve,0.0,0.0,940,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.880420499342968,0,0,0,Free
U009880,1,professional,monthly,false,self-serve,79.0,948.0,130,0,1,0.0,395.0,79.0,5,1,948.0,79.0,4.270696452036794,0,1,-1,Medium
U024094,1,professional,monthly,true,partner,79.0,948.0,120,1,0,1.0,395.0,79.0,5,1,948.0,79.0,3.9421813403416555,1,0,1,Medium
U012910,0,free,unknown,true,self-serve,0.0,0.0,939,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.847568988173453,0,0,0,Free
U024271,0,professional,monthly,true,self-serve,79.0,948.0,939,2,2,1.0,2449.0,79.0,31,1,948.0,79.0,30.847568988173453,1,1,0,Medium
U024670,0,free,unknown,true,self-serve,0.0,0.0,939,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.847568988173453,0,0,0,Free
U007543,0,starter,annual,true,self-serve,29.0,348.0,939,0,1,0.0,899.0,29.0,31,1,348.0,29.0,30.847568988173453,0,1,-1,Low
U013710,0,professional,monthly,true,partner,79.0,948.0,939,3,0,3.0,2449.0,79.0,31,1,948.0,79.0,30.847568988173453,1,0,3,Medium
U007748,0,free,unknown,true,self-serve,0.0,0.0,938,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.814717477003942,0,0,0,Free
U011798,0,starter,monthly,true,self-serve,29.0,348.0,938,2,1,2.0,899.0,29.0,31,1,348.0,29.0,30.814717477003942,1,1,1,Low
U013630,0,professional,monthly,true,self-serve,79.0,948.0,938,1,0,1.0,2449.0,79.0,31,1,948.0,79.0,30.814717477003942,1,0,1,Medium
U007812,0,free,unknown,true,self-serve,0.0,0.0,938,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.814717477003942,0,0,0,Free
U014941,0,starter,monthly,true,self-serve,29.0,348.0,938,0,0,0.0,899.0,29.0,31,1,348.0,29.0,30.814717477003942,0,0,0,Low
U022203,0,professional,annual,true,self-serve,79.0,948.0,938,0,3,0.0,2449.0,79.0,31,1,948.0,79.0,30.814717477003942,0,1,-3,Medium
U020028,0,starter,annual,true,sales-assisted,29.0,348.0,938,1,0,1.0,899.0,29.0,31,1,348.0,29.0,30.814717477003942,1,0,1,Low
U027242,0,free,unknown,true,self-serve,0.0,0.0,938,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.814717477003942,0,0,0,Free
U018482,0,enterprise,monthly,true,self-serve,199.0,2388.0,938,1,1,1.0,6169.0,199.0,31,1,2388.0,199.0,30.814717477003942,1,1,0,High
U004730,0,starter,monthly,false,self-serve,29.0,348.0,938,0,1,0.0,899.0,29.0,31,1,348.0,29.0,30.814717477003942,0,1,-1,Low
U001153,0,professional,monthly,true,self-serve,79.0,948.0,937,1,1,1.0,2449.0,79.0,31,1,948.0,79.0,30.781865965834427,1,1,0,Medium
U010160,0,starter,monthly,true,sales-assisted,29.0,348.0,937,0,0,0.0,899.0,29.0,31,1,348.0,29.0,30.781865965834427,0,0,0,Low
U008283,0,free,unknown,true,self-serve,0.0,0.0,937,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.781865965834427,0,0,0,Free
U029220,0,free,unknown,true,self-serve,0.0,0.0,937,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.781865965834427,0,0,0,Free
U008189,0,starter,annual,true,sales-assisted,29.0,348.0,937,1,0,1.0,899.0,29.0,31,1,348.0,29.0,30.781865965834427,1,0,1,Low
U020608,0,starter,monthly,true,self-serve,29.0,348.0,937,0,2,0.0,899.0,29.0,31,1,348.0,29.0,30.781865965834427,0,1,-2,Low
U001105,0,free,unknown,true,self-serve,0.0,0.0,937,0,0,0.0,0.0,0.0,31,1,0.0,0.0,30.781865965834427,0,0,0,Free
U011649,0,professional,annual,true,self-serve,79.0,948.0,937,0,0,0.0,2449.0,79.0,31,1,948.0,79.0,30.781865965834427,0,0,0,Medium
