cohort_month,months_since_signup,active_users,cohort_size,retention_rate
2024-01-01,0,231,231,100.0
2024-01-01,1,695,231,300.86580086580085
2024-01-01,2,795,231,344.15584415584414
2024-01-01,3,849,231,367.53246753246754
2024-01-01,4,878,231,380.08658008658006
2024-01-01,5,861,231,372.7272727272727
2024-01-01,6,865,231,374.45887445887445
2024-01-01,7,868,231,375.75757575757575
2024-01-01,8,878,231,380.08658008658006
2024-01-01,9,854,231,369.6969696969697
2024-01-01,10,849,231,367.53246753246754
2024-01-01,11,827,231,358.008658008658
2024-01-01,12,840,231,363.6363636363636
2024-01-01,13,789,231,341.5584415584416
2024-01-01,14,800,231,346.3203463203463
2024-01-01,15,785,231,339.82683982683983
2024-01-01,16,762,231,329.87012987012986
2024-01-01,17,727,231,314.71861471861473
2024-01-01,18,721,231,312.1212121212121
2024-01-01,19,690,231,298.7012987012987
2024-01-01,20,652,231,282.25108225108227
2024-01-01,21,626,231,270.995670995671
2024-01-01,22,606,231,262.3376623376624
2024-01-01,23,585,231,253.24675324675323
2024-01-01,24,559,231,241.99134199134198
2024-01-01,25,501,231,216.8831168831169
2024-01-01,26,453,231,196.10389610389612
2024-01-01,27,463,231,200.43290043290045
2024-01-01,28,412,231,178.35497835497836
2024-01-01,29,395,231,170.995670995671
2024-01-01,30,963,231,416.8831168831168
2024-02-01,0,226,226,100.0
2024-02-01,1,674,226,298.2300884955752
2024-02-01,2,791,226,350.0
2024-02-01,3,838,226,370.79646017699116
2024-02-01,4,839,226,371.23893805309734
2024-02-01,5,870,226,384.95575221238937
2024-02-01,6,857,226,379.20353982300884
2024-02-01,7,861,226,380.9734513274336
2024-02-01,8,860,226,380.53097345132744
2024-02-01,9,833,226,368.5840707964602
2024-02-01,10,842,226,372.5663716814159
2024-02-01,11,818,226,361.94690265486724
2024-02-01,12,778,226,344.24778761061947
2024-02-01,13,820,226,362.8318584070796
2024-02-01,14,778,226,344.24778761061947
2024-02-01,15,777,226,343.8053097345133
2024-02-01,16,755,226,334.070796460177
2024-02-01,17,714,226,315.929203539823
2024-02-01,18,678,226,300.0
2024-02-01,19,656,226,290.2654867256637
2024-02-01,20,642,226,284.070796460177
2024-02-01,21,590,226,261.0619469026548
2024-02-01,22,567,226,250.88495575221236
2024-02-01,23,557,226,246.46017699115043
2024-02-01,24,474,226,209.73451327433628
2024-02-01,25,469,226,207.5221238938053
2024-02-01,26,448,226,198.23008849557522
2024-02-01,27,431,226,190.7079646017699
2024-02-01,28,427,226,188.93805309734512
2024-02-01,29,930,226,411.5044247787611
2024-03-01,0,279,279,100.0
2024-03-01,1,738,279,264.51612903225805
