cohort_month,cohort_index,active_users,cohort_users,retention_rate
2024-01-01,0,231,231,100.0
2024-01-01,1,186,231,80.51948051948052
2024-01-01,2,195,231,84.4155844155844
2024-01-01,3,210,231,90.9090909090909
2024-01-01,4,213,231,92.20779220779221
2024-01-01,5,214,231,92.64069264069265
2024-01-01,6,208,231,90.04329004329004
2024-01-01,7,206,231,89.17748917748918
2024-01-01,8,217,231,93.93939393939394
2024-01-01,9,204,231,88.31168831168831
2024-01-01,10,200,231,86.58008658008657
2024-01-01,11,193,231,83.54978354978356
2024-01-01,12,195,231,84.4155844155844
2024-01-01,13,188,231,81.38528138528139
2024-01-01,14,196,231,84.84848484848484
2024-01-01,15,191,231,82.68398268398268
2024-01-01,16,187,231,80.95238095238095
2024-01-01,17,181,231,78.35497835497836
2024-01-01,18,171,231,74.02597402597402
2024-01-01,19,177,231,76.62337662337663
2024-01-01,20,160,231,69.26406926406926
2024-01-01,21,165,231,71.42857142857143
2024-01-01,22,150,231,64.93506493506493
2024-01-01,23,146,231,63.20346320346321
2024-01-01,24,132,231,57.14285714285714
2024-01-01,25,126,231,54.54545454545454
2024-01-01,26,118,231,51.082251082251084
2024-01-01,27,111,231,48.05194805194805
2024-01-01,28,100,231,43.290043290043286
2024-01-01,29,87,231,37.66233766233766
2024-01-01,30,231,231,100.0
2024-02-01,0,735,735,100.0
2024-02-01,1,611,735,83.12925170068027
2024-02-01,2,651,735,88.57142857142857
2024-02-01,3,666,735,90.61224489795919
2024-02-01,4,662,735,90.06802721088435
2024-02-01,5,670,735,91.15646258503402
2024-02-01,6,673,735,91.56462585034014
2024-02-01,7,670,735,91.15646258503402
2024-02-01,8,669,735,91.02040816326532
2024-02-01,9,660,735,89.79591836734694
2024-02-01,10,642,735,87.34693877551021
2024-02-01,11,652,735,88.70748299319729
2024-02-01,12,614,735,83.53741496598639
2024-02-01,13,619,735,84.21768707482993
2024-02-01,14,607,735,82.58503401360544
2024-02-01,15,587,735,79.8639455782313
2024-02-01,16,563,735,76.59863945578232
2024-02-01,17,561,735,76.32653061224491
2024-02-01,18,516,735,70.20408163265306
2024-02-01,19,502,735,68.29931972789116
2024-02-01,20,487,735,66.25850340136054
2024-02-01,21,463,735,62.99319727891156
2024-02-01,22,451,735,61.36054421768707
2024-02-01,23,445,735,60.544217687074834
2024-02-01,24,377,735,51.29251700680272
2024-02-01,25,354,735,48.16326530612245
2024-02-01,26,346,735,47.074829931972786
2024-02-01,27,326,735,44.353741496598644
2024-02-01,28,320,735,43.53741496598639
2024-02-01,29,733,735,99.72789115646259
2024-03-01,0,942,942,100.0
2024-03-01,1,787,942,83.54564755838642
2024-03-01,2,840,942,89.171974522293
2024-03-01,3,846,942,89.80891719745223
2024-03-01,4,876,942,92.99363057324841
2024-03-01,5,859,942,91.18895966029724
2024-03-01,6,849,942,90.12738853503186
2024-03-01,7,859,942,91.18895966029724
2024-03-01,8,858,942,91.0828025477707
2024-03-01,9,850,942,90.23354564755839
2024-03-01,10,819,942,86.94267515923568
2024-03-01,11,774,942,82.16560509554141
2024-03-01,12,827,942,87.79193205944799
2024-03-01,13,779,942,82.6963906581741
2024-03-01,14,791,942,83.97027600849258
2024-03-01,15,767,942,81.42250530785563
2024-03-01,16,730,942,77.49469214437367
2024-03-01,17,705,942,74.84076433121018
2024-03-01,18,674,942,71.54989384288747
2024-03-01,19,652,942,69.2144373673036
2024-03-01,20,595,942,63.16348195329087
2024-03-01,21,572,942,60.72186836518046
2024-03-01,22,550,942,58.3864118895966
2024-03-01,23,495,942,52.547770700636946
2024-03-01,24,476,942,50.530785562632694
2024-03-01,25,461,942,48.938428874734605
2024-03-01,26,431,942,45.75371549893843
2024-03-01,27,440,942,46.70912951167728
2024-03-01,28,935,942,99.25690021231422
2024-04-01,0,1022,1022,100.0
2024-04-01,1,865,1022,84.63796477495109
2024-04-01,2,913,1022,89.33463796477496
2024-04-01,3,946,1022,92.56360078277886
2024-04-01,4,947,1022,92.66144814090019
2024-04-01,5,947,1022,92.66144814090019
2024-04-01,6,929,1022,90.90019569471625
2024-04-01,7,915,1022,89.53033268101761
2024-04-01,8,922,1022,90.21526418786692
2024-04-01,9,909,1022,88.94324853228963
2024-04-01,10,876,1022,85.71428571428571
2024-04-01,11,896,1022,87.67123287671232
2024-04-01,12,850,1022,83.17025440313111
2024-04-01,13,842,1022,82.38747553816047
2024-04-01,14,807,1022,78.9628180039139
2024-04-01,15,793,1022,77.59295499021526
2024-04-01,16,778,1022,76.1252446183953
2024-04-01,17,728,1022,71.23287671232876
2024-04-01,18,702,1022,68.68884540117418
2024-04-01,19,665,1022,65.06849315068493
2024-04-01,20,652,1022,63.79647749510763
2024-04-01,21,646,1022,63.20939334637965
2024-04-01,22,542,1022,53.03326810176125
2024-04-01,23,568,1022,55.57729941291585
2024-04-01,24,500,1022,48.92367906066536
2024-04-01,25,468,1022,45.79256360078278
2024-04-01,26,446,1022,43.6399217221135
2024-04-01,27,1013,1022,99.11937377690802
2024-05-01,0,1075,1075,100.0
2024-05-01,1,921,1075,85.67441860465117
2024-05-01,2,966,1075,89.86046511627906
2024-05-01,3,981,1075,91.25581395348837
2024-05-01,4,990,1075,92.09302325581396
2024-05-01,5,994,1075,92.46511627906978
2024-05-01,6,977,1075,90.88372093023256
2024-05-01,7,991,1075,92.18604651162791
2024-05-01,8,961,1075,89.3953488372093
2024-05-01,9,947,1075,88.09302325581395
2024-05-01,10,952,1075,88.55813953488372
2024-05-01,11,931,1075,86.6046511627907
2024-05-01,12,908,1075,84.46511627906976
2024-05-01,13,879,1075,81.76744186046511
2024-05-01,14,875,1075,81.3953488372093
2024-05-01,15,838,1075,77.95348837209303
2024-05-01,16,803,1075,74.69767441860465
2024-05-01,17,772,1075,71.81395348837209
2024-05-01,18,735,1075,68.37209302325581
2024-05-01,19,718,1075,66.79069767441861
2024-05-01,20,669,1075,62.23255813953489
2024-05-01,21,559,1075,52.0
2024-05-01,22,611,1075,56.83720930232559
2024-05-01,23,596,1075,55.44186046511628
2024-05-01,24,536,1075,49.860465116279066
2024-05-01,25,485,1075,45.11627906976744
2024-05-01,26,1063,1075,98.88372093023256
2024-06-01,0,972,972,100.0
2024-06-01,1,852,972,87.65432098765432
2024-06-01,2,886,972,91.1522633744856
2024-06-01,3,895,972,92.07818930041152
2024-06-01,4,911,972,93.72427983539094
2024-06-01,5,910,972,93.62139917695474
2024-06-01,6,910,972,93.62139917695474
2024-06-01,7,889,972,91.46090534979425
2024-06-01,8,871,972,89.60905349794238
2024-06-01,9,887,972,91.2551440329218
2024-06-01,10,852,972,87.65432098765432
2024-06-01,11,838,972,86.21399176954732
2024-06-01,12,823,972,84.6707818930041
2024-06-01,13,814,972,83.7448559670782
2024-06-01,14,790,972,81.27572016460906
2024-06-01,15,718,972,73.86831275720165
2024-06-01,16,736,972,75.7201646090535
2024-06-01,17,698,972,71.81069958847736
2024-06-01,18,640,972,65.84362139917695
2024-06-01,19,647,972,66.56378600823045
2024-06-01,20,600,972,61.72839506172839
2024-06-01,21,577,972,59.36213991769548
2024-06-01,22,522,972,53.70370370370371
2024-06-01,23,486,972,50.0
2024-06-01,24,454,972,46.70781893004115
2024-06-01,25,966,972,99.38271604938271
2024-07-01,0,1045,1045,100.0
2024-07-01,1,903,1045,86.41148325358851
2024-07-01,2,972,1045,93.01435406698565
2024-07-01,3,970,1045,92.82296650717703
2024-07-01,4,971,1045,92.91866028708135
2024-07-01,5,993,1045,95.02392344497608
2024-07-01,6,982,1045,93.97129186602871
2024-07-01,7,932,1045,89.18660287081339
2024-07-01,8,959,1045,91.77033492822967
2024-07-01,9,948,1045,90.7177033492823
2024-07-01,10,923,1045,88.32535885167464
2024-07-01,11,892,1045,85.35885167464114
2024-07-01,12,883,1045,84.49760765550239
2024-07-01,13,867,1045,82.96650717703349
2024-07-01,14,796,1045,76.17224880382774
2024-07-01,15,813,1045,77.79904306220095
2024-07-01,16,800,1045,76.55502392344498
2024-07-01,17,745,1045,71.29186602870813
2024-07-01,18,695,1045,66.50717703349282
2024-07-01,19,613,1045,58.66028708133971
2024-07-01,20,642,1045,61.4354066985646
2024-07-01,21,584,1045,55.885167464114836
