user_id,total_mrr,average_monthly_revenue,active_months,plans_used,estimated_annual_value
U013518,6169.0,199.0,31,1,2388.0
U006791,6169.0,199.0,31,1,2388.0
U027841,6169.0,199.0,31,1,2388.0
U023667,6169.0,199.0,31,1,2388.0
U017027,6169.0,199.0,31,1,2388.0
U023371,6169.0,199.0,31,1,2388.0
U025652,6169.0,199.0,31,1,2388.0
U024732,6169.0,199.0,31,1,2388.0
U003489,6169.0,199.0,31,1,2388.0
U027626,6169.0,199.0,31,1,2388.0
U018207,6169.0,199.0,31,1,2388.0
U009446,6169.0,199.0,31,1,2388.0
U026775,6169.0,199.0,31,1,2388.0
U029344,6169.0,199.0,31,1,2388.0
U008519,6169.0,199.0,31,1,2388.0
U029568,6169.0,199.0,31,1,2388.0
U004501,6169.0,199.0,31,1,2388.0
U001789,6169.0,199.0,31,1,2388.0
U019733,6169.0,199.0,31,1,2388.0
U001999,6169.0,199.0,31,1,2388.0
U028706,6169.0,199.0,31,1,2388.0
U012680,6169.0,199.0,31,1,2388.0
U011387,6169.0,199.0,31,1,2388.0
U005045,6169.0,199.0,31,1,2388.0
U003608,6169.0,199.0,31,1,2388.0
U022330,6169.0,199.0,31,1,2388.0
U017407,6169.0,199.0,31,1,2388.0
U016765,6169.0,199.0,31,1,2388.0
U024069,6169.0,199.0,31,1,2388.0
U019189,6169.0,199.0,31,1,2388.0
U023628,6169.0,199.0,31,1,2388.0
U023975,6169.0,199.0,31,1,2388.0
U018186,6169.0,199.0,31,1,2388.0
U003116,6169.0,199.0,31,1,2388.0
U026111,6169.0,199.0,31,1,2388.0
U001387,6169.0,199.0,31,1,2388.0
U025089,6169.0,199.0,31,1,2388.0
U018482,6169.0,199.0,31,1,2388.0
U021970,6169.0,199.0,31,1,2388.0
U020348,6169.0,199.0,31,1,2388.0
U008324,6169.0,199.0,31,1,2388.0
U016353,6169.0,199.0,31,1,2388.0
U009525,6169.0,199.0,31,1,2388.0
U013139,6169.0,199.0,31,1,2388.0
U016341,6169.0,199.0,31,1,2388.0
U022027,6169.0,199.0,31,1,2388.0
U009860,6169.0,199.0,31,1,2388.0
U024372,6169.0,199.0,31,1,2388.0
U027885,6169.0,199.0,31,1,2388.0
U008032,6169.0,199.0,31,1,2388.0
U016127,6169.0,199.0,31,1,2388.0
U017880,6169.0,199.0,31,1,2388.0
U021391,6169.0,199.0,31,1,2388.0
U019815,6169.0,199.0,31,1,2388.0
U001538,5970.0,199.0,30,1,2388.0
U021324,5970.0,199.0,30,1,2388.0
U005269,5970.0,199.0,30,1,2388.0
U022267,5970.0,199.0,30,1,2388.0
U007227,5970.0,199.0,30,1,2388.0
U014563,5970.0,199.0,30,1,2388.0
U029506,5970.0,199.0,30,1,2388.0
U024645,5970.0,199.0,30,1,2388.0
U010375,5970.0,199.0,30,1,2388.0
U023077,5970.0,199.0,30,1,2388.0
U025174,5970.0,199.0,30,1,2388.0
U023201,5970.0,199.0,30,1,2388.0
U007271,5970.0,199.0,30,1,2388.0
U025397,5970.0,199.0,30,1,2388.0
U019291,5970.0,199.0,30,1,2388.0
U002228,5970.0,199.0,30,1,2388.0
U008223,5970.0,199.0,30,1,2388.0
U016994,5970.0,199.0,30,1,2388.0
U021256,5970.0,199.0,30,1,2388.0
U025042,5970.0,199.0,30,1,2388.0
U007655,5970.0,199.0,30,1,2388.0
U007642,5970.0,199.0,30,1,2388.0
U017895,5970.0,199.0,30,1,2388.0
U028927,5970.0,199.0,30,1,2388.0
U012616,5970.0,199.0,30,1,2388.0
U010500,5970.0,199.0,30,1,2388.0
U026780,5970.0,199.0,30,1,2388.0
U007407,5970.0,199.0,30,1,2388.0
U018905,5970.0,199.0,30,1,2388.0
U026379,5970.0,199.0,30,1,2388.0
U026503,5970.0,199.0,30,1,2388.0
U006853,5970.0,199.0,30,1,2388.0
U008584,5970.0,199.0,30,1,2388.0
U024080,5970.0,199.0,30,1,2388.0
U012395,5970.0,199.0,30,1,2388.0
U007427,5970.0,199.0,30,1,2388.0
U024224,5970.0,199.0,30,1,2388.0
U026181,5970.0,199.0,30,1,2388.0
U000893,5970.0,199.0,30,1,2388.0
U011149,5970.0,199.0,30,1,2388.0
U002240,5970.0,199.0,30,1,2388.0
U021691,5970.0,199.0,30,1,2388.0
U007987,5970.0,199.0,30,1,2388.0
U011094,5970.0,199.0,30,1,2388.0
U011071,5970.0,199.0,30,1,2388.0
U006234,5970.0,199.0,30,1,2388.0
U005604,5970.0,199.0,30,1,2388.0
U007138,5970.0,199.0,30,1,2388.0
U017640,5970.0,199.0,30,1,2388.0
U001605,5970.0,199.0,30,1,2388.0
U004154,5970.0,199.0,30,1,2388.0
U004878,5970.0,199.0,30,1,2388.0
U013035,5970.0,199.0,30,1,2388.0
U005411,5970.0,199.0,30,1,2388.0
U005728,5970.0,199.0,30,1,2388.0
U027928,5970.0,199.0,30,1,2388.0
U024518,5970.0,199.0,30,1,2388.0
U010348,5970.0,199.0,30,1,2388.0
U005654,5771.0,199.0,29,1,2388.0
U017780,5771.0,199.0,29,1,2388.0
U023878,5771.0,199.0,29,1,2388.0
U009686,5771.0,199.0,29,1,2388.0
U012135,5771.0,199.0,29,1,2388.0
U016430,5771.0,199.0,29,1,2388.0
U001489,5771.0,199.0,29,1,2388.0
U008687,5771.0,199.0,29,1,2388.0
U024008,5771.0,199.0,29,1,2388.0
U025787,5771.0,199.0,29,1,2388.0
U006432,5771.0,199.0,29,1,2388.0
U023685,5771.0,199.0,29,1,2388.0
U025890,5771.0,199.0,29,1,2388.0
U013399,5771.0,199.0,29,1,2388.0
U014987,5771.0,199.0,29,1,2388.0
U019661,5771.0,199.0,29,1,2388.0
U017524,5771.0,199.0,29,1,2388.0
U005699,5771.0,199.0,29,1,2388.0
U021422,5771.0,199.0,29,1,2388.0
U012897,5771.0,199.0,29,1,2388.0
U003418,5771.0,199.0,29,1,2388.0
U009007,5771.0,199.0,29,1,2388.0
U018018,5771.0,199.0,29,1,2388.0
U014843,5771.0,199.0,29,1,2388.0
U003086,5771.0,199.0,29,1,2388.0
U021088,5771.0,199.0,29,1,2388.0
U011216,5771.0,199.0,29,1,2388.0
U010004,5771.0,199.0,29,1,2388.0
U023093,5771.0,199.0,29,1,2388.0
U020899,5771.0,199.0,29,1,2388.0
U014383,5771.0,199.0,29,1,2388.0
U015464,5771.0,199.0,29,1,2388.0
U016302,5771.0,199.0,29,1,2388.0
U029445,5771.0,199.0,29,1,2388.0
U009338,5771.0,199.0,29,1,2388.0
U004205,5771.0,199.0,29,1,2388.0
U010856,5771.0,199.0,29,1,2388.0
U024699,5771.0,199.0,29,1,2388.0
U000108,5771.0,199.0,29,1,2388.0
U029209,5771.0,199.0,29,1,2388.0
U022883,5771.0,199.0,29,1,2388.0
U026698,5771.0,199.0,29,1,2388.0
U001569,5771.0,199.0,29,1,2388.0
U026537,5771.0,199.0,29,1,2388.0
U001065,5771.0,199.0,29,1,2388.0
U027940,5771.0,199.0,29,1,2388.0
U005695,5771.0,199.0,29,1,2388.0
U002910,5771.0,199.0,29,1,2388.0
U008573,5771.0,199.0,29,1,2388.0
U008967,5771.0,199.0,29,1,2388.0
U016618,5771.0,199.0,29,1,2388.0
U015933,5771.0,199.0,29,1,2388.0
U010483,5771.0,199.0,29,1,2388.0
U015337,5771.0,199.0,29,1,2388.0
U000099,5771.0,199.0,29,1,2388.0
U019124,5771.0,199.0,29,1,2388.0
U013503,5771.0,199.0,29,1,2388.0
U008903,5771.0,199.0,29,1,2388.0
U029612,5771.0,199.0,29,1,2388.0
U000400,5771.0,199.0,29,1,2388.0
U017797,5771.0,199.0,29,1,2388.0
U001881,5771.0,199.0,29,1,2388.0
U012414,5771.0,199.0,29,1,2388.0
U016012,5771.0,199.0,29,1,2388.0
U019282,5771.0,199.0,29,1,2388.0
U017158,5771.0,199.0,29,1,2388.0
U021845,5771.0,199.0,29,1,2388.0
U002311,5771.0,199.0,29,1,2388.0
U014596,5771.0,199.0,29,1,2388.0
U024010,5771.0,199.0,29,1,2388.0
U015280,5771.0,199.0,29,1,2388.0
U016977,5771.0,199.0,29,1,2388.0
