event_type,total_events,unique_users,event_share_pct,events_per_user
login,384451,29998,24.76848660398485,12.81588772584839
task_completed,299544,29991,19.29830212771989,9.98779633890167
task_created,296439,29984,19.098260637633054,9.886572838847385
project_created,162088,29743,10.442616761737378,5.44961839760616
comment_added,113206,28986,7.293364549684379,3.9055406058097013
file_uploaded,85911,27866,5.5348677793397405,3.0830043780951697
team_member_invited,55495,24787,3.5752987092975164,2.238875216847541
subscription_started,41401,20547,2.66728429342511,2.014941353968949
report_generated,36023,20541,2.3208034130106214,1.7537120880190837
support_viewed,27585,17891,1.777180194539544,1.5418366776591583
onboarding_started,15909,9432,1.024946881092246,1.686704834605598
subscription_upgraded,14635,10468,0.9428686658360059,1.3980703095147116
onboarding_completed,12290,7939,0.7917906322599598,1.5480539110719234
subscription_downgraded,7201,6052,0.4639287504397047,1.1898545935228024
