user_id,Authentication,Billing,Collaboration,File Management,Onboarding,Project Management,Reporting,Support,Task Management
U000001,10,2,7,1,0,6,0,2,16
U000002,9,2,4,1,0,3,0,3,14
U000003,13,4,0,2,6,4,1,0,21
U000004,9,3,5,2,0,6,1,1,15
U000005,18,5,9,3,0,4,0,1,30
U000006,14,4,4,3,7,6,2,4,18
U000007,15,2,7,9,0,9,0,1,22
U000008,12,1,1,1,1,5,0,0,13
U000009,18,1,4,2,4,6,0,0,10
U000010,21,2,9,3,2,10,2,1,20
U000011,12,2,7,1,6,6,3,1,16
U000012,18,1,9,4,0,6,0,2,28
U000013,9,0,6,1,0,6,2,0,16
U000014,5,1,3,6,0,1,2,1,19
U000015,6,0,1,2,2,2,0,0,16
U000016,11,2,5,2,0,5,1,2,19
U000017,19,7,8,4,0,5,4,2,23
U000018,16,0,2,3,1,9,0,1,15
U000019,14,5,6,2,0,3,2,2,15
U000020,22,6,10,3,2,8,2,1,26
U000021,8,0,3,1,5,1,1,0,13
U000022,7,0,4,1,0,10,1,1,18
U000023,10,1,6,1,0,2,3,1,15
U000024,10,2,5,1,2,2,0,1,11
U000025,14,0,6,2,0,4,1,0,13
U000026,9,2,6,0,0,10,2,1,26
U000027,22,8,6,2,0,12,1,2,30
U000028,7,3,3,3,0,8,0,3,13
U000029,21,2,6,1,0,5,2,2,24
U000030,11,0,2,1,1,5,0,0,9
U000031,14,2,9,0,4,5,0,1,17
U000032,4,4,5,3,3,4,1,0,16
U000033,14,1,5,2,0,11,4,0,16
U000034,10,1,5,1,0,4,0,0,14
U000035,22,1,5,4,0,5,0,0,12
U000036,10,4,4,1,0,7,2,3,18
U000037,11,0,5,3,3,8,0,1,14
U000038,16,5,6,1,0,9,1,3,30
U000039,10,3,3,4,0,4,0,3,13
U000040,9,2,3,5,0,5,2,1,25
U000041,13,6,8,4,1,9,0,0,25
U000042,9,1,6,3,0,7,0,1,11
U000043,10,2,8,6,0,6,0,2,21
U000044,10,1,8,2,0,5,2,1,21
U000045,13,1,8,5,0,6,1,1,20
U000046,19,4,14,3,0,6,0,1,29
U000047,18,4,4,5,0,3,1,0,20
U000048,14,1,4,1,0,5,1,1,17
U000049,11,0,2,3,1,4,0,2,20
U000050,6,0,2,3,4,5,1,0,11
U000051,27,3,3,2,0,8,2,0,23
U000052,8,1,6,6,0,3,0,2,15
U000053,19,0,6,5,0,6,2,1,19
U000054,13,1,3,1,1,1,1,2,10
U000055,13,1,0,4,2,5,3,0,20
U000056,7,2,8,3,3,1,0,0,9
U000057,10,1,6,3,4,5,1,3,17
U000058,14,0,6,3,0,5,0,1,20
U000059,4,3,4,2,1,2,3,1,13
U000060,5,0,8,1,0,5,0,3,18
U000061,16,1,3,3,2,7,1,0,20
U000062,16,0,4,4,2,5,3,3,15
U000063,16,1,4,3,0,4,0,0,12
U000064,10,1,4,2,4,2,0,2,4
U000065,15,0,3,2,0,2,0,1,13
U000066,13,1,3,0,0,1,1,0,15
U000067,19,3,7,8,0,5,2,2,29
U000068,15,1,4,2,0,4,0,0,10
U000069,10,4,6,4,0,6,0,1,22
U000070,24,2,4,3,0,7,2,3,24
U000071,10,0,5,1,2,2,0,0,11
U000072,15,1,4,4,1,9,1,0,36
U000073,16,6,10,4,0,7,1,0,15
U000074,15,1,4,2,1,6,1,1,13
U000075,14,2,18,6,1,11,1,2,24
U000076,14,3,9,1,0,4,0,0,24
U000077,16,0,6,1,0,8,1,1,18
U000078,17,3,10,8,0,8,2,2,25
U000079,9,1,5,1,0,3,0,0,10
U000080,22,4,7,2,0,7,0,0,24
U000081,14,1,6,4,0,3,0,1,20
U000082,11,1,4,5,2,3,1,0,14
U000083,16,2,3,3,1,3,1,1,33
U000084,13,1,4,5,0,8,1,0,10
U000085,14,3,5,3,0,3,1,2,14
U000086,12,0,3,2,1,2,2,0,15
U000087,13,1,2,1,0,6,1,0,17
U000088,16,5,5,2,0,9,0,1,23
U000089,12,1,3,4,0,9,1,0,27
U000090,11,0,9,1,0,4,0,1,22
U000091,8,2,6,0,1,7,3,2,16
U000092,10,5,4,4,1,3,1,0,22
U000093,7,0,6,0,0,1,2,0,15
U000094,13,4,5,0,5,3,1,0,15
U000095,9,1,5,2,1,3,1,0,14
U000096,12,6,5,5,5,3,0,1,24
U000097,8,0,2,5,0,11,2,1,16
U000098,18,1,5,6,0,5,0,2,26
U000099,9,4,8,1,2,6,5,1,19
U000100,16,0,2,1,3,1,0,0,14
U000101,11,2,10,2,5,3,1,0,16
U000102,7,1,3,3,4,6,3,2,12
U000103,17,3,11,2,8,5,2,0,27
U000104,18,4,3,2,0,5,3,0,27
U000105,14,2,1,3,1,6,3,0,22
U000106,7,2,2,4,0,8,0,1,28
U000107,22,3,5,1,2,4,2,1,16
U000108,9,4,8,4,4,9,0,1,16
U000109,6,0,3,0,3,4,0,0,13
U000110,14,3,3,2,4,6,2,0,16
U000111,14,7,4,4,1,9,1,1,20
U000112,17,5,8,3,0,6,0,1,26
U000113,9,2,5,1,2,5,0,1,16
U000114,10,2,9,4,0,3,1,1,15
U000115,8,2,4,3,0,1,2,0,13
U000116,12,0,5,2,0,0,1,1,14
U000117,12,2,7,3,0,9,2,2,20
U000118,8,0,6,5,0,3,2,2,11
U000119,12,3,6,5,3,2,0,1,27
U000120,13,1,12,1,0,5,3,0,14
U000121,15,4,4,2,2,2,0,1,23
U000122,18,3,4,3,0,7,0,0,26
U000123,13,2,7,3,0,8,0,2,15
U000124,10,3,4,3,5,5,1,0,16
U000125,15,3,6,3,0,9,2,3,20
U000126,10,1,5,2,1,3,1,2,15
U000127,9,2,3,1,0,3,1,0,15
U000128,17,5,4,5,0,3,0,3,15
U000129,5,0,6,1,3,2,0,0,17
U000130,14,3,4,2,1,5,1,4,32
U000131,19,5,11,0,0,2,2,0,27
U000132,14,2,4,4,0,5,1,2,21
U000133,18,1,8,4,2,6,1,0,24
U000134,10,4,6,5,0,2,1,0,28
U000135,19,5,8,1,0,3,1,2,31
U000136,11,0,7,3,0,4,0,3,20
U000137,8,0,3,5,5,5,0,1,18
U000138,15,1,10,2,1,9,1,2,29
U000139,9,1,8,0,4,2,0,0,13
U000140,8,1,4,0,1,3,2,0,12
U000141,5,0,4,2,3,6,0,0,13
U000142,15,1,7,4,0,5,1,2,34
U000143,3,2,3,5,1,7,1,0,15
U000144,6,2,3,1,1,7,1,0,17
U000145,14,2,2,0,1,12,1,1,17
U000146,16,2,2,1,0,3,2,0,20
U000147,11,0,9,7,1,8,1,0,23
U000148,19,5,7,1,1,12,1,0,20
