user_id,churn_probability,churn_prediction,churn_probability_pct,risk_segment,risk_score,retention_priority,plan,billing_frequency,monthly_recurring_revenue,annual_contract_value,tenure_days,upgrade_count,downgrade_count,acquisition_source,total_mrr,average_monthly_revenue,active_months,retention_rank
U012149,0.9985313174166737,1,99.85,Critical,99.85,Immediate,starter,monthly,29.0,348.0,118,0,0,self-serve,145.0,29.0,5,1
U020869,0.9975065594548823,1,99.75,Critical,99.75,Immediate,starter,monthly,29.0,348.0,82,0,0,self-serve,116.0,29.0,4,2
U000386,0.9972543885454347,1,99.73,Critical,99.73,Immediate,professional,monthly,79.0,948.0,102,0,0,self-serve,395.0,79.0,5,3
U011099,0.9970692033602495,1,99.71,Critical,99.71,Immediate,professional,monthly,79.0,948.0,101,0,0,self-serve,395.0,79.0,5,4
U001464,0.9968787657113921,1,99.69,Critical,99.69,Immediate,starter,monthly,29.0,348.0,143,0,0,self-serve,174.0,29.0,6,5
U022393,0.9967553040896676,1,99.68,Critical,99.68,Immediate,starter,monthly,29.0,348.0,133,0,0,self-serve,174.0,29.0,6,6
U014244,0.9966554155407717,1,99.67,Critical,99.67,Immediate,starter,monthly,29.0,348.0,116,0,0,self-serve,145.0,29.0,5,7
U003955,0.9964874101802237,1,99.65,Critical,99.65,Immediate,starter,monthly,29.0,348.0,270,0,0,self-serve,290.0,29.0,10,8
U003820,0.9964609710963275,1,99.65,Critical,99.65,Immediate,starter,monthly,29.0,348.0,115,0,0,self-serve,145.0,29.0,5,9
U000309,0.9964025752352016,1,99.64,Critical,99.64,Immediate,starter,monthly,29.0,348.0,145,0,0,self-serve,174.0,29.0,6,10
U017446,0.9964018837844486,1,99.64,Critical,99.64,Immediate,starter,monthly,29.0,348.0,88,0,0,self-serve,116.0,29.0,4,11
U028937,0.9962674575947645,1,99.63,Critical,99.63,Immediate,starter,monthly,29.0,348.0,136,0,0,self-serve,174.0,29.0,6,12
U019272,0.9962643118869321,1,99.63,Critical,99.63,Immediate,starter,monthly,29.0,348.0,162,1,0,sales-assisted,203.0,29.0,7,13
U003598,0.9962591667460977,1,99.63,Critical,99.63,Immediate,starter,monthly,29.0,348.0,268,0,0,self-serve,290.0,29.0,10,14
U001486,0.9961213397850759,1,99.61,Critical,99.61,Immediate,starter,monthly,29.0,348.0,173,1,0,self-serve,203.0,29.0,7,15
U000362,0.9957876175252613,1,99.58,Critical,99.58,Immediate,starter,monthly,29.0,348.0,198,1,0,self-serve,232.0,29.0,8,16
U021467,0.9957586803665583,1,99.58,Critical,99.58,Immediate,starter,monthly,29.0,348.0,239,0,0,self-serve,261.0,29.0,9,17
U007392,0.9957586803665583,1,99.58,Critical,99.58,Immediate,starter,monthly,29.0,348.0,239,0,0,self-serve,261.0,29.0,9,18
U017127,0.9956585251036252,1,99.57,Critical,99.57,Immediate,starter,monthly,29.0,348.0,102,0,0,self-serve,145.0,29.0,5,19
U013988,0.9955902042539403,1,99.56,Critical,99.56,Immediate,starter,monthly,29.0,348.0,175,1,0,self-serve,203.0,29.0,7,20
U014972,0.9955902042539403,1,99.56,Critical,99.56,Immediate,starter,monthly,29.0,348.0,174,1,0,self-serve,203.0,29.0,7,21
