feature,importance
numerical__active_months,16.83535470278293
numerical__tenure_days,9.427538221086131
numerical__tenure_months,9.427538221085435
categorical__plan_free,1.7713655633723207
categorical__billing_frequency_unknown,1.7713655633723207
categorical__revenue_tier_Free,1.7713655633723207
categorical__plan_starter,1.1859048231363587
categorical__revenue_tier_Low,1.1859048231363587
categorical__billing_frequency_annual,0.667557324367612
categorical__billing_frequency_monthly,0.6395900136074352
categorical__plan_professional,0.5864072838210042
categorical__revenue_tier_Medium,0.5864072838210042
categorical__plan_enterprise,0.46516476898245296
categorical__revenue_tier_High,0.46516476898245296
categorical__trial_False,0.24869850469129065
categorical__acquisition_source_self-serve,0.24177012165667452
categorical__trial_True,0.2155197207065146
numerical__total_mrr,0.19023598217814588
categorical__acquisition_source_sales-assisted,0.1511863422557966
numerical__annual_contract_value,0.14550012761900316
numerical__estimated_annual_value,0.14550012761900316
numerical__average_monthly_revenue,0.14550012761892833
numerical__monthly_recurring_revenue,0.14550012761892833
numerical__revenue_per_active_month,0.14550012761892833
numerical__downgrade_count,0.0938689463382338
numerical__has_downgrade,0.08876434722371435
categorical__acquisition_source_partner,0.07126176148519331
numerical__upgrade_count,0.06869493220044616
numerical__has_upgrade,0.04824756602603365
numerical__upgrade_downgrade_ratio,0.023228005930908957
numerical__upgrade_minus_downgrade,0.005320494829764859
numerical__plans_used,0.0
