feature,mean_abs_shap
categorical__plan_Starter,0.15114687641769953
categorical__plan_Free,0.1445555394706028
numeric__monthly_recurring_revenue,0.08497530623414139
categorical__plan_Professional,0.07586576647405786
numeric__tenure_months_at_cutoff,0.059117797933460205
numeric__tenure_days_at_cutoff,0.059027976685235614
numeric__active_months,0.04053227081499225
numeric__events_per_active_month,0.034814239216755874
numeric__events_per_tenure_month,0.026292041603595988
categorical__trial_False,0.022617455155429594
categorical__trial_True,0.0206079510794305
numeric__total_events,0.019896986952073547
categorical__acquisition_source_Self-Serve,0.01670562885099693
categorical__billing_frequency_Annual,0.015690100100993084
categorical__billing_frequency_Monthly,0.015079582492036739
categorical__plan_Enterprise,0.014195838141514164
categorical__acquisition_source_Sales-Assisted,0.011517308187453067
numeric__active_days,0.009608953344244569
numeric__is_low_engagement,0.009285354295382752
numeric__activity_recency_days,0.008420424414356312
categorical__acquisition_source_Partner,0.005308963812374155
numeric__avg_events_per_active_day,0.003737765203402045
numeric__is_recently_active,0.0021787021168791576
