month,monthly_active_users
2024-01-01,231
2024-02-01,921
2024-03-01,1748
2024-04-01,2670
2024-05-01,3659
2024-06-01,4528
2024-07-01,5563
2024-08-01,6525
2024-09-01,7512
2024-10-01,8521
2024-11-01,9395
2024-12-01,10466
2025-01-01,11456
2025-02-01,12131
2025-03-01,13395
2025-04-01,14148
2025-05-01,15033
2025-06-01,15825
2025-07-01,16699
2025-08-01,17439
2025-09-01,18017
2025-10-01,18977
2025-11-01,19370
2025-12-01,19995
2026-01-01,20641
2026-02-01,20243
2026-03-01,21187
2026-04-01,21257
2026-05-01,21414
2026-06-01,21156
2026-07-01,29857
