month,mrr,active_customers,active_subscriptions,arr,arpu,previous_mrr,mrr_growth,mrr_growth_pct
2024-01-01,32847.0,729,729,394164.0,45.05761316872428,,,
2024-02-01,71465.0,1681,1681,857580.0,42.51338488994646,32847.0,38618.0,117.56933662130484
2024-03-01,115556.0,2683,2683,1386672.0,43.06969809914275,71465.0,44091.0,61.695935073112715
2024-04-01,158852.0,3685,3685,1906224.0,43.10773405698779,115556.0,43296.0,37.467548201737685
2024-05-01,200812.0,4693,4693,2409744.0,42.7896867675261,158852.0,41960.0,26.414524211215472
2024-06-01,240925.0,5604,5604,2891100.0,42.991613133476086,200812.0,40113.0,19.975399876501402
2024-07-01,284855.0,6577,6577,3418260.0,43.3107799908773,240925.0,43930.0,18.233890214797135
2024-08-01,323943.0,7504,7504,3887316.0,43.169376332622605,284855.0,39088.0,13.722069122887081
2024-09-01,365702.0,8439,8439,4388424.0,43.33475530276099,323943.0,41759.0,12.890848081298254
2024-10-01,404409.0,9386,9386,4852908.0,43.086405284466224,365702.0,38707.0,10.58430087885765
2024-11-01,443341.0,10310,10310,5320092.0,43.00106692531523,404409.0,38932.0,9.626887631086351
2024-12-01,481442.0,11258,11258,5777304.0,42.764434180138565,443341.0,38101.0,8.594061907200102
2025-01-01,521740.0,12233,12233,6260880.0,42.650208452546394,481442.0,40298.0,8.370270977604779
2025-02-01,557070.0,13092,13092,6684840.0,42.550412465627865,521740.0,35330.0,6.771572047379921
2025-03-01,599032.0,14064,14064,7188384.0,42.593287827076225,557070.0,41962.0,7.5326260613567415
2025-04-01,630819.0,14910,14910,7569828.0,42.30845070422535,599032.0,31787.0,5.30639431616341
2025-05-01,667060.0,15785,15785,8004720.0,42.25910674691163,630819.0,36241.0,5.745071090122524
2025-06-01,704962.0,16708,16708,8459544.0,42.19308115872636,667060.0,37902.0,5.681947650885977
2025-07-01,743217.0,17592,17592,8918604.0,42.24744201909959,704962.0,38255.0,5.426533628762969
2025-08-01,779975.0,18544,18544,9359700.0,42.06077437446074,743217.0,36758.0,4.945796449758281
2025-09-01,817619.0,19443,19443,9811428.0,42.05210101321813,779975.0,37644.0,4.826308535529985
2025-10-01,861010.0,20420,20420,10332120.0,42.16503428011753,817619.0,43391.0,5.306995067384687
2025-11-01,900152.0,21293,21293,10801824.0,42.274550321701966,861010.0,39142.0,4.546056375651851
2025-12-01,937672.0,22213,22213,11252064.0,42.2127582946923,900152.0,37520.0,4.1681849287675865
2026-01-01,978032.0,23167,23167,11736384.0,42.21660119998273,937672.0,40360.0,4.304276975317595
2026-02-01,1011538.0,24007,24007,12138456.0,42.13512725455075,978032.0,33506.0,3.425859276588087
2026-03-01,1050596.0,24929,24929,12607152.0,42.14352761843636,1011538.0,39058.0,3.861248910075548
2026-04-01,1083690.0,25789,25789,13004280.0,42.02140447477607,1050596.0,33094.0,3.1500215115991304
2026-05-01,1116347.0,26704,26704,13396164.0,41.80448621929299,1083690.0,32657.0,3.013500170713027
2026-06-01,1156008.0,27650,27650,13872096.0,41.80860759493671,1116347.0,39661.0,3.5527483837910614
2026-07-01,1161462.0,27801,27801,13937544.0,41.7777058379195,1156008.0,5454.0,0.47179604293395894
