month,new_subscriptions,new_customers,new_mrr
2024-01-01,729,729,32847.0
2024-02-01,952,952,38618.0
2024-03-01,1002,1002,44091.0
2024-04-01,1008,1008,43620.0
2024-05-01,1016,1016,42242.0
2024-06-01,939,939,41985.0
2024-07-01,1021,1021,46532.0
2024-08-01,981,981,42094.0
2024-09-01,1004,1004,46180.0
2024-10-01,1023,1023,43581.0
2024-11-01,985,985,43161.0
2024-12-01,1022,1022,42767.0
2025-01-01,1045,1045,44548.0
2025-02-01,960,960,41269.0
2025-03-01,1056,1056,46288.0
2025-04-01,938,938,37735.0
2025-05-01,965,965,41491.0
2025-06-01,1006,1006,42779.0
2025-07-01,973,973,43816.0
2025-08-01,1056,1056,43534.0
2025-09-01,1012,1012,45161.0
2025-10-01,1073,1073,49425.0
2025-11-01,968,968,44857.0
2025-12-01,1013,1013,43497.0
2026-01-01,1037,1037,44977.0
2026-02-01,938,938,39668.0
2026-03-01,1014,1014,45096.0
2026-04-01,967,967,39327.0
2026-05-01,1017,1017,40535.0
2026-06-01,1054,1054,46143.0
2026-07-01,226,226,9289.0
