event_month,user_type,users
2024-01-01,New,231
2024-02-01,New,735
2024-02-01,Returning,186
2024-03-01,New,942
2024-03-01,Returning,806
2024-04-01,New,1022
2024-04-01,Returning,1648
2024-05-01,New,1075
2024-05-01,Returning,2584
2024-06-01,New,972
2024-06-01,Returning,3556
2024-07-01,New,1045
2024-07-01,Returning,4518
2024-08-01,New,1070
2024-08-01,Returning,5455
2024-09-01,New,1016
2024-09-01,Returning,6496
2024-10-01,New,1075
2024-10-01,Returning,7446
2024-11-01,New,966
2024-11-01,Returning,8429
2024-12-01,New,1067
2024-12-01,Returning,9399
2025-01-01,New,1098
2025-01-01,Returning,10358
2025-02-01,New,974
2025-02-01,Returning,11157
2025-03-01,New,1097
2025-03-01,Returning,12298
2025-04-01,New,999
2025-04-01,Returning,13149
2025-05-01,New,1006
2025-05-01,Returning,14027
2025-06-01,New,1032
2025-06-01,Returning,14793
2025-07-01,New,1007
2025-07-01,Returning,15692
2025-08-01,New,1085
2025-08-01,Returning,16354
2025-09-01,New,1042
2025-09-01,Returning,16975
2025-10-01,New,1113
2025-10-01,Returning,17864
2025-11-01,New,1008
2025-11-01,Returning,18362
2025-12-01,New,1051
2025-12-01,Returning,18944
2026-01-01,New,1101
2026-01-01,Returning,19540
2026-02-01,New,938
2026-02-01,Returning,19305
2026-03-01,New,1049
2026-03-01,Returning,20138
2026-04-01,New,1037
2026-04-01,Returning,20220
2026-05-01,New,1060
2026-05-01,Returning,20354
2026-06-01,New,1061
2026-06-01,Returning,20095
2026-07-01,New,26
2026-07-01,Returning,29831
