month,plan,mrr,customers,arpu,revenue_contribution_pct
2026-07-01,Professional,514764.0,6516,79.0,2.6531286481137397
2026-06-01,Professional,512552.0,6488,79.0,2.6417278497486105
2026-05-01,Professional,495883.0,6277,79.0,2.555814690639955
2026-04-01,Professional,479767.0,6073,79.0,2.4727517311225817
2026-03-01,Professional,464836.0,5884,79.0,2.395796342157957
2026-02-01,Professional,448720.0,5680,79.0,2.312733382640584
2026-07-01,Enterprise,441581.0,2219,199.0,2.2759384913527625
2026-06-01,Enterprise,438397.0,2203,199.0,2.2595279389139864
2026-01-01,Professional,433236.0,5484,79.0,2.2329277940846763
2026-05-01,Enterprise,422278.0,2122,199.0,2.1764495171926823
2025-12-01,Professional,415698.0,5262,79.0,2.1425357499040056
2026-04-01,Enterprise,412726.0,2074,199.0,2.1272178598763536
2026-03-01,Enterprise,400189.0,2011,199.0,2.062601309648673
2025-11-01,Professional,398318.0,5042,79.0,2.0529580484637013
2026-02-01,Enterprise,384468.0,1932,199.0,1.981574206982216
2025-10-01,Professional,382123.0,4837,79.0,1.9694879175761448
2026-01-01,Enterprise,372130.0,1870,199.0,1.9179833162819584
2025-09-01,Professional,362847.0,4593,79.0,1.870138103251444
2025-12-01,Enterprise,356210.0,1790,199.0,1.8359305540880777
2025-08-01,Professional,345704.0,4376,79.0,1.7817819159216892
2025-11-01,Enterprise,342479.0,1721,199.0,1.765160046695856
2025-07-01,Professional,329272.0,4168,79.0,1.6970902709235833
2025-10-01,Enterprise,325564.0,1636,199.0,1.6779789868648576
2025-06-01,Professional,311576.0,3944,79.0,1.6058838840025462
2025-09-01,Enterprise,309047.0,1553,199.0,1.5928492460887067
2025-08-01,Enterprise,294520.0,1480,199.0,1.5179761005867907
2025-05-01,Professional,293880.0,3720,79.0,1.514677497081509
2025-07-01,Enterprise,281386.0,1414,199.0,1.4502825717768393
2025-04-01,Professional,280134.0,3546,79.0,1.4438296786696319
2025-06-01,Enterprise,266859.0,1341,199.0,1.3754094262749232
2025-03-01,Professional,265440.0,3360,79.0,1.3680958038155566
2025-05-01,Enterprise,253526.0,1274,199.0,1.3066902379375482
2025-02-01,Professional,247349.0,3131,79.0,1.2748535600436035
2025-04-01,Enterprise,237208.0,1192,199.0,1.2225861566888205
2025-01-01,Professional,231865.0,2935,79.0,1.195047971487696
2025-03-01,Enterprise,226263.0,1137,199.0,1.1661748826805276
2024-12-01,Professional,214327.0,2713,79.0,1.1046559273070253
