months_since_signup,average_retention_rate,median_retention_rate,cohorts_available
0,100.0,100.0,30
1,194.39854128837516,188.90136033672908,30
2,211.72812011946226,197.63313609467457,29
3,220.6340707669424,207.91677386158992,28
4,226.14849513917386,216.08695652173915,27
5,230.0835173015034,221.7797935564592,26
6,233.42743498737724,227.33812949640287,25
7,236.34538078926252,232.5991468132027,24
8,238.02808901231342,237.1859296482412,23
9,238.03404900934757,238.3546722976585,22
10,238.74676980709734,239.00523560209425,21
11,238.20624872751642,236.94998329063162,20
12,236.54179004973474,231.93717277486908,19
13,235.46168535276183,228.3244680851064,18
14,235.366390464196,227.6595744680851,17
15,231.36782204841938,214.1542397204717,16
16,230.32312335796468,216.4222873900293,15
17,226.67116058406822,232.72589475589336,14
18,222.56425112870963,221.69811320754715,13
19,221.43576522506896,225.77209797657082,12
20,219.07333411587786,212.1405750798722,11
21,212.21087192297153,212.44354960108387,10
22,207.79505891006687,190.4153354632588,9
23,206.6349680380119,191.4776353905828,8
24,210.7116200254424,202.1505376344086,7
25,210.16160473606507,192.1123164271894,6
26,207.1240863615159,196.10389610389612,5
27,223.20255803703455,195.57043251733518,4
28,240.7105803765809,188.93805309734512,3
29,291.25004788721606,291.25004788721606,2
30,416.8831168831168,416.8831168831168,1
