feature,importance
numerical__tenure_days,0.2153154830489646
numerical__tenure_months,0.20044860474596338
numerical__active_months,0.111071385135075
numerical__total_mrr,0.09069030279650941
categorical__revenue_tier_Free,0.039680802580124415
numerical__annual_contract_value,0.039286537941475734
numerical__estimated_annual_value,0.03925772394307962
categorical__billing_frequency_unknown,0.03351087431650199
numerical__revenue_per_active_month,0.03340983500277664
numerical__average_monthly_revenue,0.033254299731731565
categorical__plan_free,0.03196900457153123
numerical__monthly_recurring_revenue,0.025424903588602533
numerical__upgrade_minus_downgrade,0.012412259372799949
categorical__billing_frequency_monthly,0.010351135080489514
numerical__upgrade_downgrade_ratio,0.008780192036578262
numerical__upgrade_count,0.00863161293658043
numerical__downgrade_count,0.007332947069449553
categorical__acquisition_source_self-serve,0.00701332307474003
categorical__trial_False,0.006813177106047599
categorical__billing_frequency_annual,0.006468636687713822
categorical__trial_True,0.006289001288135953
categorical__acquisition_source_sales-assisted,0.0062660093279453995
categorical__revenue_tier_Low,0.0054278925215837754
numerical__has_downgrade,0.004966533990865067
categorical__plan_starter,0.004497350589051685
categorical__acquisition_source_partner,0.0043213606659861
numerical__has_upgrade,0.003762465578392118
categorical__revenue_tier_Medium,0.0013080433333529672
categorical__plan_professional,0.0009433223293408618
categorical__plan_enterprise,0.0005578350315512803
categorical__revenue_tier_High,0.0005371445770595181
numerical__plans_used,0.0
