cohort_index,retention_rate
0,100.0
1,94.17327688215241
2,96.12412385193622
3,96.56946829221825
4,96.52849228322418
5,96.21686871018872
6,94.92349531932341
7,93.51228120646543
8,92.55943214871606
9,90.30448797787949
10,87.8997224412644
11,85.75173533254828
12,83.47485708013085
13,81.43067992581885
14,78.98819723318657
15,76.40789790999379
16,74.2696369320789
17,71.56416714826524
18,68.93709582091444
19,67.45992382270505
20,65.46455263861331
21,62.776689522503546
22,60.89991754529592
23,60.10886652219
24,57.68403805142115
25,56.989784574374085
26,57.28688783310167
27,59.558548209283
28,62.02811948944797
29,68.69511440940013
30,100.0
