month,billing_cycle,mrr,customers
2024-01-01,monthly,25487.0,353
2024-01-01,annual,7360.0,100
2024-02-01,monthly,55343.0,797
2024-02-01,annual,16122.0,218
2024-03-01,monthly,89358.0,1262
2024-03-01,annual,26198.0,362
2024-04-01,monthly,123124.0,1736
2024-04-01,annual,35728.0,502
2024-05-01,monthly,157297.0,2223
2024-05-01,annual,43515.0,615
2024-06-01,monthly,187943.0,2647
2024-06-01,annual,52982.0,728
2024-07-01,monthly,222088.0,3102
2024-07-01,annual,62767.0,863
2024-08-01,monthly,252761.0,3529
2024-08-01,annual,71182.0,988
2024-09-01,monthly,283970.0,3930
2024-09-01,annual,81732.0,1118
2024-10-01,monthly,313258.0,4352
2024-10-01,annual,91151.0,1229
2024-11-01,monthly,343203.0,4767
2024-11-01,annual,100138.0,1352
2024-12-01,monthly,372415.0,5175
2024-12-01,annual,109027.0,1473
2025-01-01,monthly,403191.0,5579
2025-01-01,annual,118549.0,1601
2025-02-01,monthly,430654.0,5946
2025-02-01,annual,126416.0,1704
2025-03-01,monthly,463065.0,6375
2025-03-01,annual,135967.0,1823
2025-04-01,monthly,487049.0,6721
2025-04-01,annual,143770.0,1930
2025-05-01,monthly,514876.0,7084
2025-05-01,annual,152184.0,2036
2025-06-01,monthly,543360.0,7500
2025-06-01,annual,161602.0,2148
2025-07-01,monthly,573340.0,7900
2025-07-01,annual,169877.0,2253
2025-08-01,monthly,600924.0,8296
2025-08-01,annual,179051.0,2379
2025-09-01,monthly,630844.0,8686
2025-09-01,annual,186775.0,2485
2025-10-01,monthly,665245.0,9155
2025-10-01,annual,195765.0,2605
2025-11-01,monthly,696034.0,9546
2025-11-01,annual,204118.0,2712
2025-12-01,monthly,726090.0,9950
2025-12-01,annual,211582.0,2818
2026-01-01,monthly,757840.0,10370
2026-01-01,annual,220192.0,2938
2026-02-01,monthly,784655.0,10735
2026-02-01,annual,226883.0,3027
2026-03-01,monthly,815235.0,11145
2026-03-01,annual,235361.0,3149
2026-04-01,monthly,841198.0,11502
2026-04-01,annual,242492.0,3238
2026-05-01,monthly,867257.0,11893
2026-05-01,annual,249090.0,3340
2026-06-01,monthly,899356.0,12314
2026-06-01,annual,256652.0,3448
2026-07-01,monthly,904466.0,12364
2026-07-01,annual,256996.0,3444
