month,plan,mrr,customers,arpu
2024-01-01,Professional,15563.0,197,79.0
2024-01-01,Enterprise,11542.0,58,199.0
2024-01-01,Starter,5742.0,198,29.0
2024-01-01,Free,0.0,276,0.0
2024-02-01,Professional,33101.0,419,79.0
2024-02-01,Enterprise,24676.0,124,199.0
2024-02-01,Starter,13688.0,472,29.0
2024-02-01,Free,0.0,666,0.0
2024-03-01,Professional,53641.0,679,79.0
2024-03-01,Enterprise,40397.0,203,199.0
2024-03-01,Starter,21518.0,742,29.0
2024-03-01,Free,0.0,1059,0.0
2024-04-01,Professional,73233.0,927,79.0
2024-04-01,Enterprise,55720.0,280,199.0
2024-04-01,Starter,29899.0,1031,29.0
2024-04-01,Free,0.0,1447,0.0
2024-05-01,Professional,91087.0,1153,79.0
2024-05-01,Enterprise,71242.0,358,199.0
2024-05-01,Starter,38483.0,1327,29.0
2024-05-01,Free,0.0,1855,0.0
2024-06-01,Professional,109178.0,1382,79.0
2024-06-01,Enterprise,86565.0,435,199.0
2024-06-01,Starter,45182.0,1558,29.0
2024-06-01,Free,0.0,2229,0.0
2024-07-01,Professional,131140.0,1660,79.0
2024-07-01,Enterprise,101689.0,511,199.0
2024-07-01,Starter,52026.0,1794,29.0
2024-07-01,Free,0.0,2612,0.0
2024-08-01,Professional,150416.0,1904,79.0
2024-08-01,Enterprise,114425.0,575,199.0
2024-08-01,Starter,59102.0,2038,29.0
2024-08-01,Free,0.0,2987,0.0
2024-09-01,Professional,167085.0,2115,79.0
2024-09-01,Enterprise,132932.0,668,199.0
2024-09-01,Starter,65685.0,2265,29.0
2024-09-01,Free,0.0,3391,0.0
2024-10-01,Professional,183675.0,2325,79.0
2024-10-01,Enterprise,147857.0,743,199.0
2024-10-01,Starter,72877.0,2513,29.0
2024-10-01,Free,0.0,3805,0.0
2024-11-01,Professional,200660.0,2540,79.0
2024-11-01,Enterprise,162583.0,817,199.0
2024-11-01,Starter,80098.0,2762,29.0
2024-11-01,Free,0.0,4191,0.0
2024-12-01,Professional,214327.0,2713,79.0
2024-12-01,Enterprise,179100.0,900,199.0
2024-12-01,Starter,88015.0,3035,29.0
2024-12-01,Free,0.0,4610,0.0
2025-01-01,Professional,231865.0,2935,79.0
2025-01-01,Enterprise,195219.0,981,199.0
2025-01-01,Starter,94656.0,3264,29.0
2025-01-01,Free,0.0,5053,0.0
2025-02-01,Professional,247349.0,3131,79.0
