user_id,total_mrr,average_monthly_revenue,active_months,plans_used,estimated_annual_value,revenue_share_pct,cumulative_revenue_share_pct,customer_rank
U013518,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.03179544535012872,1
U006791,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.06359089070025745,2
U027841,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.09538633605038617,3
U023667,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.1271817814005149,4
U017027,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.15897722675064363,5
U023371,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.19077267210077237,6
U025652,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.2225681174509011,7
U024732,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.25436356280102984,8
U003489,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.2861590081511586,9
U027626,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.3179544535012873,10
U018207,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.34974989885141605,11
U009446,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.3815453442015448,12
U026775,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.4133407895516735,13
U029344,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.44513623490180226,14
U008519,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.476931680251931,15
U029568,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.5087271256020597,16
U004501,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.5405225709521884,17
U001789,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.572318016302317,18
U019733,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.6041134616524457,19
U001999,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.6359089070025744,20
U028706,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.6677043523527031,21
U012680,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.6994997977028318,22
U011387,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.7312952430529605,23
U005045,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.7630906884030891,24
U003608,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.7948861337532178,25
U022330,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.8266815791033465,26
U017407,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.8584770244534752,27
U016765,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.8902724698036039,28
U024069,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.9220679151537325,29
U019189,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.9538633605038612,30
U023628,6169.0,199.0,31,1,2388.0,0.03179544535012872,0.9856588058539899,31
U023975,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.0174542512041187,32
U018186,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.0492496965542475,33
U003116,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.0810451419043763,34
U026111,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.112840587254505,35
U001387,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.1446360326046339,36
U025089,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.1764314779547627,37
U018482,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.2082269233048915,38
U021970,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.2400223686550202,39
U020348,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.271817814005149,40
U008324,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.3036132593552778,41
U016353,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.3354087047054066,42
U009525,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.3672041500555354,43
U013139,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.3989995954056642,44
U016341,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.430795040755793,45
U022027,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.4625904861059218,46
U009860,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.4943859314560506,47
U024372,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.5261813768061794,48
U027885,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.5579768221563082,49
U008032,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.589772267506437,50
U016127,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.6215677128565658,51
U017880,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.6533631582066945,52
U021391,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.6851586035568233,53
U019815,6169.0,199.0,31,1,2388.0,0.03179544535012872,1.7169540489069521,54
U001538,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.7477238347296573,55
U021324,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.7784936205523625,56
U005269,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.8092634063750677,57
U022267,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.8400331921977728,58
U007227,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.870802978020478,59
U014563,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.9015727638431832,60
U029506,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.9323425496658884,61
U024645,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.9631123354885935,62
U010375,5970.0,199.0,30,1,2388.0,0.030769785822705214,1.9938821213112987,63
U023077,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.024651907134004,64
U025174,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.0554216929567093,65
U023201,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.0861914787794147,66
U007271,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.11696126460212,67
U025397,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.1477310504248255,68
U019291,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.178500836247531,69
U002228,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.2092706220702363,70
U008223,5970.0,199.0,30,1,2388.0,0.030769785822705214,2.2400404078929417,71
