user_id,signup_date,first_active_month,last_active_month,active_months,lifecycle_months,activity_frequency_pct
U011214,2024-01-01,2024-02-01,2026-07-01,23,30,76.66666666666667
U010388,2024-01-01,2024-01-01,2026-07-01,24,31,77.41935483870968
U012220,2024-01-01,2024-02-01,2026-07-01,20,30,66.66666666666666
U029242,2024-01-01,2024-02-01,2026-07-01,24,30,80.0
U002343,2024-01-01,2024-01-01,2026-07-01,23,31,74.19354838709677
U013077,2024-01-01,2024-01-01,2026-07-01,22,31,70.96774193548387
U005513,2024-01-01,2024-03-01,2026-07-01,21,29,72.41379310344827
U012698,2024-01-01,2024-03-01,2026-07-01,18,29,62.06896551724138
U013710,2024-01-01,2024-02-01,2026-07-01,25,30,83.33333333333334
U017339,2024-01-01,2024-02-01,2026-07-01,19,30,63.33333333333333
U013832,2024-01-01,2024-01-01,2026-07-01,25,31,80.64516129032258
U005540,2024-01-01,2024-02-01,2026-07-01,23,30,76.66666666666667
U018940,2024-01-01,2024-01-01,2026-07-01,21,31,67.74193548387096
U020617,2024-01-01,2024-02-01,2026-07-01,22,30,73.33333333333333
U009634,2024-01-01,2024-02-01,2026-07-01,22,30,73.33333333333333
U001202,2024-01-01,2024-01-01,2026-07-01,21,31,67.74193548387096
U007802,2024-01-01,2024-02-01,2026-07-01,14,30,46.666666666666664
U001408,2024-01-01,2024-01-01,2026-07-01,20,31,64.51612903225806
U007157,2024-01-01,2024-01-01,2026-07-01,20,31,64.51612903225806
U005144,2024-01-01,2024-01-01,2026-07-01,20,31,64.51612903225806
U014127,2024-01-01,2024-01-01,2026-07-01,22,31,70.96774193548387
U008189,2024-01-01,2024-02-01,2026-07-01,21,30,70.0
U004027,2024-01-01,2024-01-01,2026-07-01,27,31,87.09677419354838
U025402,2024-01-01,2024-01-01,2026-07-01,23,31,74.19354838709677
U019586,2024-01-01,2024-01-01,2026-07-01,24,31,77.41935483870968
U009073,2024-01-01,2024-01-01,2026-07-01,18,31,58.06451612903226
U006771,2024-01-01,2024-02-01,2026-07-01,26,30,86.66666666666667
U012600,2024-01-02,2024-02-01,2026-07-01,29,30,96.66666666666667
U004787,2024-01-02,2024-01-01,2026-07-01,24,31,77.41935483870968
U027906,2024-01-02,2024-01-01,2026-07-01,20,31,64.51612903225806
U023451,2024-01-02,2024-01-01,2026-07-01,25,31,80.64516129032258
U018482,2024-01-02,2024-01-01,2026-07-01,28,31,90.32258064516128
U009446,2024-01-02,2024-03-01,2026-07-01,21,29,72.41379310344827
U008221,2024-01-02,2024-02-01,2026-07-01,20,30,66.66666666666666
U016341,2024-01-02,2024-02-01,2026-07-01,27,30,90.0
U026581,2024-01-02,2024-01-01,2026-07-01,21,31,67.74193548387096
U020776,2024-01-02,2024-02-01,2026-07-01,22,30,73.33333333333333
U020401,2024-01-02,2024-01-01,2026-07-01,26,31,83.87096774193549
U029220,2024-01-02,2024-01-01,2026-07-01,16,31,51.61290322580645
U011758,2024-01-02,2024-02-01,2026-07-01,19,30,63.33333333333333
U007543,2024-01-02,2024-02-01,2026-07-01,22,30,73.33333333333333
U006339,2024-01-02,2024-03-01,2026-07-01,19,29,65.51724137931035
U008399,2024-01-02,2024-02-01,2026-07-01,21,30,70.0
U003866,2024-01-02,2024-02-01,2026-07-01,24,30,80.0
U016177,2024-01-02,2024-02-01,2026-07-01,23,30,76.66666666666667
U019733,2024-01-02,2024-01-01,2026-07-01,27,31,87.09677419354838
U005744,2024-01-02,2024-01-01,2026-07-01,24,31,77.41935483870968
U019281,2024-01-02,2024-02-01,2026-07-01,24,30,80.0
U014750,2024-01-02,2024-01-01,2026-07-01,19,31,61.29032258064516
U000208,2024-01-02,2024-02-01,2026-07-01,22,30,73.33333333333333
U018551,2024-01-02,2024-01-01,2026-07-01,26,31,83.87096774193549
U012910,2024-01-02,2024-02-01,2026-07-01,25,30,83.33333333333334
U025089,2024-01-02,2024-01-01,2026-07-01,28,31,90.32258064516128
U012267,2024-01-02,2024-02-01,2026-07-01,20,30,66.66666666666666
U022456,2024-01-02,2024-01-01,2026-07-01,23,31,74.19354838709677
U017525,2024-01-02,2024-02-01,2026-07-01,21,30,70.0
U001387,2024-01-02,2024-01-01,2026-07-01,26,31,83.87096774193549
U011798,2024-01-03,2024-01-01,2026-07-01,24,31,77.41935483870968
U025652,2024-01-03,2024-02-01,2026-07-01,26,30,86.66666666666667
U005823,2024-01-03,2024-05-01,2026-07-01,22,27,81.48148148148148
U011103,2024-01-03,2024-01-01,2026-07-01,25,31,80.64516129032258
U026488,2024-01-03,2024-03-01,2026-07-01,25,29,86.20689655172413
U012029,2024-01-03,2024-01-01,2026-07-01,16,31,51.61290322580645
U004368,2024-01-03,2024-01-01,2026-07-01,24,31,77.41935483870968
U011947,2024-01-03,2024-01-01,2026-07-01,20,31,64.51612903225806
U029784,2024-01-03,2024-02-01,2026-07-01,26,30,86.66666666666667
U024648,2024-01-03,2024-01-01,2026-07-01,21,31,67.74193548387096
U015880,2024-01-03,2024-02-01,2026-07-01,21,30,70.0
U024670,2024-01-03,2024-02-01,2026-07-01,22,30,73.33333333333333
U024935,2024-01-03,2024-02-01,2026-07-01,25,30,83.33333333333334
U009183,2024-01-03,2024-03-01,2026-07-01,19,29,65.51724137931035
U013630,2024-01-03,2024-01-01,2026-07-01,23,31,74.19354838709677
U016154,2024-01-03,2024-01-01,2026-07-01,24,31,77.41935483870968
U024271,2024-01-03,2024-01-01,2026-07-01,26,31,83.87096774193549
U005099,2024-01-03,2024-02-01,2026-07-01,23,30,76.66666666666667
U008018,2024-01-03,2024-02-01,2026-07-01,20,30,66.66666666666666
U016398,2024-01-03,2024-01-01,2026-07-01,19,31,61.29032258064516
U020608,2024-01-03,2024-01-01,2026-07-01,24,31,77.41935483870968
U018212,2024-01-03,2024-01-01,2026-07-01,20,31,64.51612903225806
U024291,2024-01-03,2024-02-01,2026-07-01,21,30,70.0
U022338,2024-01-03,2024-02-01,2026-07-01,25,30,83.33333333333334
U028822,2024-01-03,2024-03-01,2026-07-01,19,29,65.51724137931035
U014941,2024-01-03,2024-02-01,2026-07-01,21,30,70.0
U007062,2024-01-03,2024-02-01,2026-07-01,19,30,63.33333333333333
U024326,2024-01-03,2024-02-01,2026-07-01,22,30,73.33333333333333
U024845,2024-01-03,2024-03-01,2026-07-01,20,29,68.96551724137932
U027242,2024-01-04,2024-01-01,2026-07-01,17,31,54.83870967741935
U009678,2024-01-04,2024-01-01,2026-07-01,20,31,64.51612903225806
U021809,2024-01-04,2024-01-01,2026-07-01,17,31,54.83870967741935
U017362,2024-01-04,2024-01-01,2026-07-01,21,31,67.74193548387096
U008014,2024-01-04,2024-01-01,2026-07-01,22,31,70.96774193548387
U003105,2024-01-04,2024-02-01,2026-07-01,16,30,53.333333333333336
U027885,2024-01-04,2024-03-01,2026-07-01,24,29,82.75862068965517
U026019,2024-01-04,2024-01-01,2026-07-01,24,31,77.41935483870968
U029833,2024-01-04,2024-02-01,2026-07-01,21,30,70.0
U010872,2024-01-04,2024-02-01,2026-07-01,23,30,76.66666666666667
U011245,2024-01-04,2024-02-01,2026-07-01,20,30,66.66666666666666
U017497,2024-01-04,2024-01-01,2026-07-01,24,31,77.41935483870968
U016765,2024-01-04,2024-01-01,2026-07-01,28,31,90.32258064516128
U008283,2024-01-04,2024-02-01,2026-07-01,23,30,76.66666666666667
U027801,2024-01-04,2024-02-01,2026-07-01,19,30,63.33333333333333
U001153,2024-01-04,2024-01-01,2026-07-01,26,31,83.87096774193549
U015669,2024-01-04,2024-02-01,2026-07-01,24,30,80.0
U024094,2024-01-04,2024-02-01,2026-07-01,19,30,63.33333333333333
U009164,2024-01-04,2024-02-01,2026-07-01,22,30,73.33333333333333
U009263,2024-01-04,2024-01-01,2026-07-01,27,31,87.09677419354838
U010795,2024-01-04,2024-01-01,2026-07-01,20,31,64.51612903225806
U022277,2024-01-04,2024-01-01,2026-07-01,17,31,54.83870967741935
U023990,2024-01-04,2024-01-01,2026-07-01,20,31,64.51612903225806
U002180,2024-01-04,2024-02-01,2026-07-01,16,30,53.333333333333336
U014384,2024-01-04,2024-01-01,2026-07-01,27,31,87.09677419354838
U003699,2024-01-04,2024-03-01,2026-07-01,20,29,68.96551724137932
U025127,2024-01-04,2024-03-01,2026-07-01,20,29,68.96551724137932
U016392,2024-01-04,2024-02-01,2026-07-01,18,30,60.0
U007674,2024-01-04,2024-01-01,2026-07-01,21,31,67.74193548387096
U006665,2024-01-04,2024-04-01,2026-07-01,19,28,67.85714285714286
U009880,2024-01-04,2024-03-01,2026-07-01,26,29,89.65517241379311
U011649,2024-01-04,2024-01-01,2026-07-01,28,31,90.32258064516128
U013778,2024-01-04,2024-04-01,2026-07-01,20,28,71.42857142857143
U007748,2024-01-04,2024-02-01,2026-07-01,20,30,66.66666666666666
U001250,2024-01-04,2024-01-01,2026-07-01,28,31,90.32258064516128
U029068,2024-01-04,2024-02-01,2026-07-01,21,30,70.0
U003531,2024-01-04,2024-02-01,2026-07-01,21,30,70.0
U005244,2024-01-04,2024-02-01,2026-07-01,16,30,53.333333333333336
U023898,2024-01-04,2024-02-01,2026-07-01,17,30,56.666666666666664
U000686,2024-01-04,2024-01-01,2026-07-01,21,31,67.74193548387096
U020028,2024-01-04,2024-02-01,2026-07-01,21,30,70.0
U012760,2024-01-04,2024-02-01,2026-07-01,24,30,80.0
U005155,2024-01-04,2024-01-01,2026-07-01,24,31,77.41935483870968
U016389,2024-01-04,2024-01-01,2026-07-01,26,31,83.87096774193549
U006791,2024-01-04,2024-01-01,2026-07-01,27,31,87.09677419354838
U016141,2024-01-05,2024-02-01,2026-07-01,21,30,70.0
U001105,2024-01-05,2024-01-01,2026-07-01,17,31,54.83870967741935
U010127,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U016848,2024-01-05,2024-03-01,2026-07-01,23,29,79.3103448275862
U021388,2024-01-05,2024-01-01,2026-07-01,20,31,64.51612903225806
U027472,2024-01-05,2024-02-01,2026-07-01,17,30,56.666666666666664
U007812,2024-01-05,2024-03-01,2026-07-01,17,29,58.620689655172406
U004845,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U000987,2024-01-05,2024-01-01,2026-07-01,28,31,90.32258064516128
U006992,2024-01-05,2024-02-01,2026-07-01,24,30,80.0
U006237,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U002134,2024-01-05,2024-02-01,2026-07-01,22,30,73.33333333333333
U011173,2024-01-05,2024-01-01,2026-07-01,19,31,61.29032258064516
U008636,2024-01-05,2024-02-01,2026-07-01,22,30,73.33333333333333
U010485,2024-01-05,2024-01-01,2026-07-01,27,31,87.09677419354838
U004730,2024-01-05,2024-02-01,2026-07-01,20,30,66.66666666666666
U029040,2024-01-05,2024-02-01,2026-07-01,22,30,73.33333333333333
U003704,2024-01-05,2024-01-01,2026-07-01,14,31,45.16129032258064
U022203,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U015742,2024-01-05,2024-02-01,2026-07-01,23,30,76.66666666666667
U024069,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U015969,2024-01-05,2024-02-01,2026-07-01,25,30,83.33333333333334
U012880,2024-01-05,2024-02-01,2026-07-01,21,30,70.0
U014169,2024-01-05,2024-03-01,2026-07-01,20,29,68.96551724137932
U022162,2024-01-05,2024-01-01,2026-07-01,29,31,93.54838709677419
U010160,2024-01-05,2024-01-01,2026-07-01,25,31,80.64516129032258
U026549,2024-01-05,2024-01-01,2026-07-01,26,31,83.87096774193549
U012603,2024-01-05,2024-01-01,2026-07-01,28,31,90.32258064516128
U012954,2024-01-05,2024-02-01,2026-07-01,25,30,83.33333333333334
U015917,2024-01-05,2024-01-01,2026-07-01,23,31,74.19354838709677
U027250,2024-01-05,2024-01-01,2026-07-01,23,31,74.19354838709677
U021761,2024-01-05,2024-01-01,2026-07-01,27,31,87.09677419354838
U022021,2024-01-06,2024-02-01,2026-07-01,24,30,80.0
U022951,2024-01-06,2024-01-01,2026-07-01,27,31,87.09677419354838
U006277,2024-01-06,2024-01-01,2026-07-01,22,31,70.96774193548387
U020016,2024-01-06,2024-01-01,2026-07-01,27,31,87.09677419354838
U013057,2024-01-06,2024-02-01,2026-07-01,17,30,56.666666666666664
U028742,2024-01-06,2024-02-01,2026-07-01,23,30,76.66666666666667
U012678,2024-01-06,2024-02-01,2026-07-01,26,30,86.66666666666667
U001544,2024-01-06,2024-02-01,2026-07-01,27,30,90.0
U004557,2024-01-06,2024-02-01,2026-07-01,22,30,73.33333333333333
U012315,2024-01-06,2024-02-01,2026-07-01,24,30,80.0
U013660,2024-01-06,2024-02-01,2026-07-01,25,30,83.33333333333334
U005919,2024-01-06,2024-02-01,2026-07-01,12,30,40.0
U006075,2024-01-06,2024-01-01,2026-07-01,20,31,64.51612903225806
U000741,2024-01-06,2024-02-01,2026-07-01,25,30,83.33333333333334
U020718,2024-01-06,2024-01-01,2026-07-01,29,31,93.54838709677419
U028609,2024-01-06,2024-01-01,2026-07-01,25,31,80.64516129032258
U000150,2024-01-06,2024-02-01,2026-07-01,23,30,76.66666666666667
U024879,2024-01-06,2024-02-01,2026-07-01,22,30,73.33333333333333
U021624,2024-01-06,2024-02-01,2026-07-01,22,30,73.33333333333333
U017067,2024-01-06,2024-02-01,2026-07-01,27,30,90.0
U005821,2024-01-07,2024-01-01,2026-07-01,29,31,93.54838709677419
U021155,2024-01-07,2024-02-01,2026-07-01,25,30,83.33333333333334
U024330,2024-01-07,2024-02-01,2026-07-01,17,30,56.666666666666664
U017978,2024-01-07,2024-02-01,2026-07-01,21,30,70.0
U015013,2024-01-07,2024-02-01,2026-07-01,24,30,80.0
U028381,2024-01-07,2024-01-01,2026-07-01,24,31,77.41935483870968
U027454,2024-01-07,2024-01-01,2026-07-01,25,31,80.64516129032258
U017701,2024-01-07,2024-01-01,2026-07-01,18,31,58.06451612903226
U002113,2024-01-07,2024-02-01,2026-07-01,25,30,83.33333333333334
U020780,2024-01-07,2024-02-01,2026-07-01,24,30,80.0
U009722,2024-01-07,2024-01-01,2026-07-01,20,31,64.51612903225806
U012305,2024-01-07,2024-01-01,2026-07-01,27,31,87.09677419354838
U023551,2024-01-07,2024-02-01,2026-07-01,21,30,70.0
U026579,2024-01-07,2024-02-01,2026-07-01,25,30,83.33333333333334
U026425,2024-01-07,2024-02-01,2026-07-01,20,30,66.66666666666666
U003856,2024-01-07,2024-02-01,2026-07-01,24,30,80.0
U021720,2024-01-07,2024-03-01,2026-07-01,21,29,72.41379310344827
U015064,2024-01-07,2024-02-01,2026-07-01,22,30,73.33333333333333
U010192,2024-01-07,2024-01-01,2026-07-01,24,31,77.41935483870968
U013068,2024-01-07,2024-01-01,2026-07-01,23,31,74.19354838709677
