user_id,first_active_month,last_active_month,active_months,activity_span_days,retention_behavior
U000001,2024-09-01,2026-07-01,18,668,High Retention
U000002,2024-03-01,2026-07-01,18,852,High Retention
U000003,2025-11-01,2026-07-01,9,242,High Retention
U000004,2024-09-01,2026-07-01,17,668,High Retention
U000005,2025-09-01,2026-07-01,11,303,High Retention
U000006,2024-01-01,2026-07-01,26,912,High Retention
U000007,2025-12-01,2026-07-01,8,212,High Retention
U000008,2024-08-01,2026-07-01,19,699,High Retention
U000009,2024-08-01,2026-07-01,18,699,High Retention
U000010,2024-06-01,2026-07-01,22,760,High Retention
U000011,2024-03-01,2026-07-01,24,852,High Retention
U000012,2026-04-01,2026-07-01,4,91,Moderate Retention
U000013,2026-05-01,2026-07-01,3,61,Moderate Retention
U000014,2024-03-01,2026-07-01,23,852,High Retention
U000015,2024-10-01,2026-07-01,14,638,High Retention
U000016,2025-07-01,2026-07-01,13,365,High Retention
U000017,2025-06-01,2026-07-01,14,395,High Retention
U000018,2025-09-01,2026-07-01,11,303,High Retention
U000019,2026-04-01,2026-07-01,4,91,Moderate Retention
U000020,2026-01-01,2026-07-01,7,181,High Retention
U000021,2024-12-01,2026-07-01,16,577,High Retention
U000022,2024-12-01,2026-07-01,18,577,High Retention
U000023,2024-12-01,2026-07-01,18,577,High Retention
U000024,2024-07-01,2026-07-01,17,730,High Retention
U000025,2025-06-01,2026-07-01,14,395,High Retention
U000026,2024-05-01,2026-07-01,26,791,High Retention
U000027,2024-04-01,2026-07-01,27,821,High Retention
U000028,2024-05-01,2026-07-01,16,791,High Retention
U000029,2025-11-01,2026-07-01,9,242,High Retention
U000030,2025-05-01,2026-07-01,13,426,High Retention
U000031,2024-10-01,2026-07-01,20,638,High Retention
U000032,2025-07-01,2026-07-01,13,365,High Retention
U000033,2025-10-01,2026-07-01,10,273,High Retention
U000034,2025-12-01,2026-07-01,8,212,High Retention
U000035,2025-03-01,2026-07-01,15,487,High Retention
U000036,2026-01-01,2026-07-01,7,181,High Retention
U000037,2024-11-01,2026-07-01,19,607,High Retention
U000038,2026-02-01,2026-07-01,6,150,High Retention
U000039,2024-07-01,2026-07-01,16,730,High Retention
U000040,2024-06-01,2026-07-01,20,760,High Retention
U000041,2025-12-01,2026-07-01,8,212,High Retention
U000042,2025-11-01,2026-07-01,9,242,High Retention
U000043,2026-03-01,2026-07-01,5,122,Moderate Retention
U000044,2024-05-01,2026-07-01,24,791,High Retention
U000045,2026-04-01,2026-07-01,4,91,Moderate Retention
U000046,2026-03-01,2026-07-01,5,122,Moderate Retention
U000047,2025-05-01,2026-07-01,15,426,High Retention
U000048,2025-05-01,2026-07-01,13,426,High Retention
U000049,2024-06-01,2026-07-01,19,760,High Retention
U000050,2025-08-01,2026-07-01,12,334,High Retention
U000051,2025-12-01,2026-07-01,8,212,High Retention
U000052,2025-07-01,2026-07-01,13,365,High Retention
U000053,2024-08-01,2026-07-01,21,699,High Retention
U000054,2025-06-01,2026-07-01,12,395,High Retention
U000055,2024-06-01,2026-07-01,22,760,High Retention
